first_name,last_name,full_name,team,year,player,position,r1_price,r2_price,r3_price,r4_price,r5_price,r6_price,r7_price,r8_price,r9_price,r10_price,r11_price,r12_price,r13_price,r14_price,r15_price,r16_price,r17_price,r18_price,r19_price,r20_price,r21_price,r22_price,r23_price,r1_score,r2_score,r3_score,r4_score,r5_score,r6_score,r7_score,r8_score,r9_score,r10_score,r11_score,r12_score,r13_score,r14_score,r15_score,r16_score,r17_score,r18_score,r19_score,r20_score,r21_score,r22_score,r23_score
Tom,Highmore,Tom Highmore,St Kilda,2021,Tom_Highmore_St Kilda_2021,DEF,117300,117300,117300,117300,117300,117300,117300,117300,117300,167500,167500,193700,186900,209700,209700,251900,297600,324300,331000,331000,345800,354600,354600,60,77,0,0,0,0,0,0,47,0,36,17,111,0,91,49,97,64,0,70,93,0,0
Tom,Hird,Tom Hird,Essendon,2021,Tom_Hird_Essendon_2021,MID,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tom,Hutchesson,Tom Hutchesson,Greater Western Sydney,2021,Tom_Hutchesson_Greater Western Sydney_2021,MID FWD,135400,135400,135400,135400,135400,135400,135400,135400,135400,135400,135400,135400,135400,135400,135400,135400,135400,135400,135400,135400,135400,135400,135400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tom,Jonas,Tom Jonas,Port Adelaide,2021,Tom_Jonas_Port Adelaide_2021,DEF,373600,373600,373600,355800,359700,370900,409200,437800,461100,442100,412900,395900,395900,384600,390400,374100,379300,374900,382300,373300,357200,340200,343400,63,54,62,101,73,131,105,77,50,70,89,0,53,94,46,91,78,73,55,58,62,81,77
Tom,Liberatore,Tom Liberatore,Western Bulldogs,2021,Tom_Liberatore_Western Bulldogs_2021,MID,569900,569900,569900,550300,522900,495100,498900,502200,524100,520600,545700,542200,543100,543100,539200,543900,550100,529300,529300,520600,520300,530700,531000,108,100,82,78,83,139,83,126,96,145,78,102,0,126,100,107,72,0,115,123,97,132,75
Tom,Lynch,Tom Lynch,Richmond,2021,Tom_Lynch_Richmond_2021,FWD,366700,366700,366700,356500,350500,352700,334300,344300,334900,333600,318800,318800,318800,318800,318800,318800,346300,378400,396800,382100,366700,342700,352900,43,66,83,46,81,39,102,42,53,70,0,0,0,0,0,126,82,61,59,73,33,100,102
Tom,Lynch,Tom Lynch,Adelaide,2021,Tom_Lynch_Adelaide_2021,FWD,407900,407900,407900,404200,381400,370300,338500,338500,338500,338500,338500,338500,338500,338500,338500,338500,338500,338500,325700,316800,341000,358600,406400,112,50,69,66,63,17,0,0,0,0,0,0,0,0,0,0,0,94,62,88,94,89,107
Tom,McCartin,Tom McCartin,Sydney,2021,Tom_McCartin_Sydney_2021,FWD DEF,312800,312800,312800,334700,357300,354600,354600,349600,339200,332000,340000,343200,351300,343500,343500,329200,303500,315900,346800,385400,393400,387900,378100,59,110,64,73,66,0,61,57,68,91,52,80,61,0,29,45,134,81,78,89,56,98,56
Tom,McDonald,Tom McDonald,Melbourne,2021,Tom_McDonald_Melbourne_2021,FWD,323000,323000,323000,341400,353000,383300,431200,453600,452100,462300,469200,471700,463700,453000,453000,435900,421000,444100,456600,456800,437200,437200,401100,94,87,50,89,136,109,63,94,136,61,90,112,52,0,64,106,132,57,82,89,0,0,15
Tom,Mitchell,Tom Mitchell,Hawthorn,2021,Tom_Mitchell_Hawthorn_2021,MID,610000,610000,610000,599000,578900,549400,527200,508100,525800,532000,553200,542000,542000,559000,564300,579200,580200,586800,613100,634900,650400,652100,650500,135,109,89,107,76,90,105,147,76,142,88,0,134,114,118,110,131,171,111,132,150,117,127
Tom,Papley,Tom Papley,Sydney,2021,Tom_Papley_Sydney_2021,FWD,428600,428600,428600,434100,431100,423000,382800,350600,332400,335300,343400,363200,379700,373600,373600,348000,306900,296300,308200,337000,364300,374400,362000,79,70,115,62,57,39,59,69,77,72,102,80,32,0,50,29,79,97,72,94,75,45,91
Tom,Phillips,Tom Phillips,Hawthorn,2021,Tom_Phillips_Hawthorn_2021,MID FWD,402600,402600,402600,398900,393400,388800,385300,373600,363900,355500,346300,347800,347800,353600,362500,363100,352500,340100,347500,347900,353400,344800,340800,90,56,82,83,55,83,65,52,81,58,72,0,92,61,62,66,53,102,52,66,74,67,63
Tom,Powell,Tom Powell,North Melbourne,2021,Tom_Powell_North Melbourne_2021,MID,477800,477800,477800,432100,432100,432100,432100,432100,432100,432100,432100,432100,432100,432100,432100,432100,432100,432100,432100,372600,320500,320500,320500,68,80,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,63,0,0,0
Tom,Rockliff,Tom Rockliff,Port Adelaide,2021,Tom_Rockliff_Port Adelaide_2021,MID,573000,573000,573000,573000,573000,573000,573000,573000,573000,573000,573000,573000,573000,573000,573000,573000,573000,573000,573000,573000,573000,573000,573000,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tom,Sparrow,Tom Sparrow,Melbourne,2021,Tom_Sparrow_Melbourne_2021,MID,303700,303700,303700,296100,282300,282300,282300,282300,282300,282300,282300,244800,231200,219400,219400,237500,242300,242300,242300,242300,248300,248400,246600,59,58,44,40,0,0,0,0,0,0,0,75,37,0,58,55,0,0,0,45,49,46,61
